" ","score","status","future"
"Index",67.81,,67.04
"Food Provision",14.79,13.88,15.7
". Fisheries",14.81,13.89,15.72
". Mariculture",2.35,2.81,1.89
"Artisanal Fishing Opportunity",71.42,66.69,76.15
"Natural Products",52.96,46.85,59.07
"Carbon Storage",80.9,99.46,62.35
"Coastal Protection",22.62,25.51,19.73
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",99.92,99.84,100
". Livelihoods",99.84,99.68,100
". Economies",100,100,100
"Sense of Place",80.06,81.11,79.01
". Iconic Species",60.12,62.22,58.01
". Lasting Special Places",100,100,100
"Clean Waters",70.68,67.21,74.14
"Biodiversity",84.77,85.29,84.26
". Habitats",90.04,89.62,90.46
". Species",79.51,80.96,78.06
