" ","score","status","future","trend","pressures","resilience"
"Index",67.88,,67.16,,,
"Food Provision",10.67,9.99,11.35,0,,
". Fisheries",10.68,10,11.37,0,26.9,68.28
". Mariculture",0.16,0.15,0.16,0,29.92,58.29
"Artisanal Fishing Opportunity",71.41,66.69,76.12,0,26.22,68.88
"Natural Products",57.9,50.96,64.84,0.2,24.8,67.57
"Carbon Storage",80.85,99.46,62.24,-0.71,34.15,65.77
"Coastal Protection",22.6,25.51,19.7,-0.48,37.26,65.77
"Tourism & Recreation",100,100,100,0.02,56.75,51.98
"Coastal Livelihoods & Economies",99.92,99.84,100,0.78,,
". Livelihoods",99.84,99.68,100,0.56,30.7,56.55
". Economies",100,100,100,1,29.29,58.19
"Sense of Place",80.04,81.11,78.97,-0.14,,
". Iconic Species",60.09,62.22,57.95,-0.27,32.95,67.51
". Lasting Special Places",100,100,100,0,40.58,63.34
"Clean Waters",70.68,67.21,74.14,0.26,73.02,51.98
"Biodiversity",84.75,85.29,84.22,-0.19,,
". Habitats",90.02,89.62,90.43,-0.16,30.02,66.12
". Species",79.48,80.96,78.01,-0.22,31.99,66.14
