" ","score","status","future","trend","pressures","resilience"
"Index",67.74,,66.9,,,
"Food Provision",19.15,17.98,20.32,-0.01,,
". Fisheries",19.17,18,20.34,-0.01,26.81,68.28
". Mariculture",0.51,0.49,0.53,-0.02,29.92,58.29
"Artisanal Fishing Opportunity",71.42,66.69,76.15,0,26.11,68.88
"Natural Products",47.86,42.61,53.1,0.16,24.78,67.57
"Carbon Storage",80.89,99.46,62.33,-0.71,33.86,65.77
"Coastal Protection",22.61,25.51,19.72,-0.48,37,65.77
"Tourism & Recreation",100,100,100,0.02,56.75,51.98
"Coastal Livelihoods & Economies",99.92,99.84,100,0.78,,
". Livelihoods",99.84,99.68,100,0.56,30.7,56.55
". Economies",100,100,100,1,29.28,58.19
"Sense of Place",80.06,81.11,79,-0.14,,
". Iconic Species",60.11,62.22,58,-0.27,32.69,67.51
". Lasting Special Places",100,100,100,0,40.25,63.34
"Clean Waters",70.68,67.21,74.14,0.26,73.02,51.98
"Biodiversity",84.77,85.29,84.25,-0.19,,
". Habitats",90.04,89.62,90.46,-0.16,29.92,66.12
". Species",79.51,80.96,78.05,-0.22,31.83,66.14
