"rgn_id","sciname","category"
2,"Cetorhinus maximus","VU"
4,"Cetorhinus maximus","VU"
3,"Cetorhinus maximus","VU"
1,"Cetorhinus maximus","VU"
2,"Triaenodon obesus","NT"
4,"Triaenodon obesus","NT"
3,"Triaenodon obesus","NT"
1,"Triaenodon obesus","NT"
2,"Lepidochelys olivacea","VU"
4,"Lepidochelys olivacea","VU"
3,"Lepidochelys olivacea","VU"
1,"Lepidochelys olivacea","VU"
2,"Balaenoptera physalus","EN"
4,"Balaenoptera physalus","EN"
3,"Balaenoptera physalus","EN"
1,"Balaenoptera physalus","EN"
2,"Rhincodon typus","VU"
4,"Rhincodon typus","VU"
3,"Rhincodon typus","VU"
1,"Rhincodon typus","VU"
2,"Prionace glauca","NT"
4,"Prionace glauca","NT"
3,"Prionace glauca","NT"
1,"Prionace glauca","NT"
2,"Galeocerdo cuvier","NT"
4,"Galeocerdo cuvier","NT"
3,"Galeocerdo cuvier","NT"
1,"Galeocerdo cuvier","NT"
2,"Alopias vulpinus","VU"
4,"Alopias vulpinus","VU"
3,"Alopias vulpinus","VU"
1,"Alopias vulpinus","VU"
2,"Megaptera novaeangliae","LC"
4,"Megaptera novaeangliae","LC"
3,"Megaptera novaeangliae","LC"
1,"Megaptera novaeangliae","LC"
2,"Balaenoptera musculus","EN"
4,"Balaenoptera musculus","EN"
3,"Balaenoptera musculus","EN"
1,"Balaenoptera musculus","EN"
2,"Dermochelys coriacea","CR"
4,"Dermochelys coriacea","CR"
3,"Dermochelys coriacea","CR"
1,"Dermochelys coriacea","CR"
2,"Carcharhinus melanopterus","NT"
4,"Carcharhinus melanopterus","NT"
3,"Carcharhinus melanopterus","NT"
1,"Carcharhinus melanopterus","NT"
2,"Lamna nasus","VU"
4,"Lamna nasus","VU"
3,"Lamna nasus","VU"
1,"Lamna nasus","VU"
2,"Carcharodon carcharias","VU"
4,"Carcharodon carcharias","VU"
3,"Carcharodon carcharias","VU"
1,"Carcharodon carcharias","VU"
2,"Caretta caretta","EN"
4,"Caretta caretta","EN"
3,"Caretta caretta","EN"
1,"Caretta caretta","EN"
2,"Isurus oxyrinchus","VU"
4,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
1,"Isurus oxyrinchus","VU"
2,"Balaenoptera borealis","EN"
4,"Balaenoptera borealis","EN"
3,"Balaenoptera borealis","EN"
1,"Balaenoptera borealis","EN"
2,"Balaenoptera acutorostrata","LC"
4,"Balaenoptera acutorostrata","LC"
3,"Balaenoptera acutorostrata","LC"
1,"Balaenoptera acutorostrata","LC"
