"cntry_key","year","usd"
"ZAF",1980,4183.729111
"ZAF",1981,4705.342115
"ZAF",1982,4849.78963
"ZAF",1983,4823.306032
"ZAF",1984,5124.916648
"ZAF",1985,5083.708466
"ZAF",1986,5066.666055
"ZAF",1987,5193.422341
"ZAF",1988,5467.933734
"ZAF",1989,5681.286543
"ZAF",1990,5759.544401
"ZAF",1991,5774.369002
"ZAF",1992,5650.851065
"ZAF",1993,5723.819113
"ZAF",1994,5901.763685
"ZAF",1995,6094.023747
"ZAF",1996,6326.672959
"ZAF",1997,6469.57674
"ZAF",1998,6441.173419
"ZAF",1999,6530.176099
"ZAF",2000,6778.636173
"ZAF",2001,6977.672998
"ZAF",2002,7250.399071
"ZAF",2003,7525.067408
"ZAF",2004,7993.958195
"ZAF",2005,8596.830871
"ZAF",2006,9266.900091
"ZAF",2007,9954.794478
"ZAF",2008,10427.71019
"ZAF",2009,10248.08295
"ZAF",2010,10561.99784
"ZAF",2011,11028.27028
"ZAF",2012,11440.38014
