"rgn_id","year","usd"
1,1998,42836372348.951
2,1998,27314391309.865
3,1998,178064977.808598
4,1998,63967171363.3754
1,2002,35437867131.864
2,2002,22596772717.8569
3,2002,147310397.178717
4,2002,52919049753.1004
1,2004,69884057060.8859
2,2004,44561207595.552
3,2004,290498527.007648
4,2004,104357236816.554
1,2005,78802134550.1955
2,2005,50247773588.8244
3,2005,327569763.042605
4,2005,117674522097.937
1,2006,83253358534.0045
2,2006,53086073543.6196
3,2006,346072896.161379
4,2006,124321495026.215
1,2007,91280234317.061
2,2007,58204369377.5443
3,2007,379439527.829883
4,2007,136307956777.565
1,2008,87356267462.9715
2,2008,55702272204.9259
3,2008,363128130.937933
4,2008,130448332201.165
1,2009,90272289652.8663
2,2009,57561658674.7745
3,2009,375249638.854224
4,2009,134802802033.505
1,2010,115952869671.53
2,2010,73936747722.4642
3,2010,482000319.651477
4,2010,173151382286.355
1,2011,130215286669.884
2,2011,83031104166.6569
3,2011,541287248.657059
4,2011,194449321914.802
