"rgn_id","count","year"
2,17396000,1960
4,17396000,1960
3,17396000,1960
1,17396000,1960
2,17949961.6,1961
4,17949961.6,1961
3,17949961.6,1961
1,17949961.6,1961
2,18459441.6,1962
4,18459441.6,1962
3,18459441.6,1962
1,18459441.6,1962
2,18936137.6,1963
4,18936137.6,1963
3,18936137.6,1963
1,18936137.6,1963
2,19390553.6,1964
4,19390553.6,1964
3,19390553.6,1964
1,19390553.6,1964
2,19832000,1965
4,19832000,1965
3,19832000,1965
1,19832000,1965
2,20268593.6,1966
4,20268593.6,1966
3,20268593.6,1966
1,20268593.6,1966
2,20707257.6,1967
4,20707257.6,1967
3,20707257.6,1967
1,20707257.6,1967
2,21153721.6,1968
4,21153721.6,1968
3,21153721.6,1968
1,21153721.6,1968
2,21612521.6,1969
4,21612521.6,1969
3,21612521.6,1969
1,21612521.6,1969
2,22087000,1970
4,22087000,1970
3,22087000,1970
1,22087000,1970
2,22602372.67,1971
4,22602372.67,1971
3,22602372.67,1971
1,22602372.67,1971
2,23126275.71,1972
4,23126275.71,1972
3,23126275.71,1972
1,23126275.71,1972
2,23655907.71,1973
4,23655907.71,1973
3,23655907.71,1973
1,23655907.71,1973
2,24189836.67,1974
4,24189836.67,1974
3,24189836.67,1974
1,24189836.67,1974
2,24728000,1975
4,24728000,1975
3,24728000,1975
1,24728000,1975
2,25268094.27,1976
4,25268094.27,1976
3,25268094.27,1976
1,25268094.27,1976
2,25805575.23,1977
4,25805575.23,1977
3,25805575.23,1977
1,25805575.23,1977
2,26355319.23,1978
4,26355319.23,1978
3,26355319.23,1978
1,26355319.23,1978
2,26940792.51,1979
4,26940792.51,1979
3,26940792.51,1979
1,26940792.51,1979
2,27576000,1980
4,27576000,1980
3,27576000,1980
1,27576000,1980
2,28254654.59,1981
4,28254654.59,1981
3,28254654.59,1981
1,28254654.59,1981
2,28971838.59,1982
4,28971838.59,1982
3,28971838.59,1982
1,28971838.59,1982
2,29724003.71,1983
4,29724003.71,1983
3,29724003.71,1983
1,29724003.71,1983
2,30505360.83,1984
4,30505360.83,1984
3,30505360.83,1984
1,30505360.83,1984
2,31307880,1985
4,31307880,1985
3,31307880,1985
1,31307880,1985
2,32121290.43,1986
4,32121290.43,1986
3,32121290.43,1986
1,32121290.43,1986
2,32933080.51,1987
4,32933080.51,1987
3,32933080.51,1987
1,32933080.51,1987
2,33728497.79,1988
4,33728497.79,1988
3,33728497.79,1988
1,33728497.79,1988
2,34490548.99,1989
4,34490548.99,1989
3,34490548.99,1989
1,34490548.99,1989
2,35200000,1990
4,35200000,1990
3,35200000,1990
1,35200000,1990
2,35933107.76,1991
4,35933107.76,1991
3,35933107.76,1991
1,35933107.76,1991
2,36690738.76,1992
4,36690738.76,1992
3,36690738.76,1992
1,36690738.76,1992
2,37473796.4,1993
4,37473796.4,1993
3,37473796.4,1993
1,37473796.4,1993
2,38283222.67,1994
4,38283222.67,1994
3,38283222.67,1994
1,38283222.67,1994
2,39120000,1995
4,39120000,1995
3,39120000,1995
1,39120000,1995
2,40000246.95,1996
4,40000246.95,1996
3,40000246.95,1996
1,40000246.95,1996
2,40926063.04,1997
4,40926063.04,1997
3,40926063.04,1997
1,40926063.04,1997
2,41899682.78,1998
4,41899682.78,1998
3,41899682.78,1998
1,41899682.78,1998
2,42923484.53,1999
4,42923484.53,1999
3,42923484.53,1999
1,42923484.53,1999
2,4.4e+07,2000
4,4.4e+07,2000
3,4.4e+07,2000
1,4.4e+07,2000
2,44909738,2001
4,44909738,2001
3,44909738,2001
1,44909738,2001
2,45533292,2002
4,45533292,2002
3,45533292,2002
1,45533292,2002
2,46116494,2003
4,46116494,2003
3,46116494,2003
1,46116494,2003
2,46664771,2004
4,46664771,2004
3,46664771,2004
1,46664771,2004
2,47198469,2005
4,47198469,2005
3,47198469,2005
1,47198469,2005
2,47730946,2006
4,47730946,2006
3,47730946,2006
1,47730946,2006
2,48257282,2007
4,48257282,2007
3,48257282,2007
1,48257282,2007
2,48793022,2008
4,48793022,2008
3,48793022,2008
1,48793022,2008
2,49320150,2009
4,49320150,2009
3,49320150,2009
1,49320150,2009
2,49991300,2010
4,49991300,2010
3,49991300,2010
1,49991300,2010
2,50586757,2011
4,50586757,2011
3,50586757,2011
1,50586757,2011
2,51189306.61,2012
4,51189306.61,2012
3,51189306.61,2012
1,51189306.61,2012
