"cntry_key","sector","year","value"
"ZAF","aqf",2004,23538.1062355488
"ZAF","aqf",2005,5249.99999999328
"ZAF","aqf",2006,5085.40540540032
"ZAF","aqf",2007,1648.79074658144
"ZAF","aqf",2008,176340.425531872
"ZAF","aqf",2009,1568
"ZAF","cf",2002,5318462270.464
"ZAF","cf",2007,3813665363.424
"ZAF","mar",2002,24548462.9115
"ZAF","mar",2007,48310252.3668
"ZAF","mmw",1998,70310975.61
"ZAF","mmw",2008,62543834.35
"ZAF","og",2004,0
"ZAF","og",2005,0
"ZAF","og",2006,8571243890.384
"ZAF","og",2007,9006293773.708
"ZAF","og",2008,11510698502.492
"ZAF","og",2009,7262149082.692
"ZAF","tour",2007,3865920789.8
"ZAF","tour",2008,3909420272.86
"ZAF","tour",2009,3845745882.79
"ZAF","tour",2010,3747254881.03
"ZAF","tour",2011,3.5785e+10
"ZAF","tour",2012,3.8399e+10
