"rgn_id","year","area_km2"
2,0,505
4,0,505
3,0,505
1,0,505
2,1895,220
4,1895,220
3,1895,220
1,1895,220
2,1896,2
4,1896,2
3,1896,2
1,1896,2
2,1931,64
4,1931,64
3,1931,64
1,1931,64
2,1935,9
4,1935,9
3,1935,9
1,1935,9
2,1937,9
4,1937,9
3,1937,9
1,1937,9
2,1945,1
4,1945,1
3,1945,1
1,1945,1
2,1948,17
4,1948,17
3,1948,17
1,1948,17
2,1956,49
4,1956,49
3,1956,49
1,1956,49
2,1960,16
4,1960,16
3,1960,16
1,1960,16
2,1968,6
4,1968,6
3,1968,6
1,1968,6
2,1969,4
4,1969,4
3,1969,4
1,1969,4
2,1975,38
4,1975,38
3,1975,38
1,1975,38
2,1976,4
4,1976,4
3,1976,4
1,1976,4
2,1977,2
4,1977,2
3,1977,2
1,1977,2
2,1979,3
4,1979,3
3,1979,3
1,1979,3
2,1982,3
4,1982,3
3,1982,3
1,1982,3
2,1985,98
4,1985,98
3,1985,98
1,1985,98
2,1987,16
4,1987,16
3,1987,16
1,1987,16
2,1991,6
4,1991,6
3,1991,6
1,1991,6
2,1998,84
4,1998,84
3,1998,84
1,1998,84
2,2000,36
4,2000,36
3,2000,36
1,2000,36
2,2004,94
4,2004,94
3,2004,94
1,2004,94
