"rgn_id","year","area_km2"
2,0,726
4,0,726
3,0,726
1,0,726
2,1895,132
4,1895,132
3,1895,132
1,1895,132
2,1931,66
4,1931,66
3,1931,66
1,1931,66
2,1935,10
4,1935,10
3,1935,10
1,1935,10
2,1937,1
4,1937,1
3,1937,1
1,1937,1
2,1945,7
4,1945,7
3,1945,7
1,1945,7
2,1948,14
4,1948,14
3,1948,14
1,1948,14
2,1956,50
4,1956,50
3,1956,50
1,1956,50
2,1960,17
4,1960,17
3,1960,17
1,1960,17
2,1968,6
4,1968,6
3,1968,6
1,1968,6
2,1975,25
4,1975,25
3,1975,25
1,1975,25
2,1976,3
4,1976,3
3,1976,3
1,1976,3
2,1977,2
4,1977,2
3,1977,2
1,1977,2
2,1982,11
4,1982,11
3,1982,11
1,1982,11
2,1985,73
4,1985,73
3,1985,73
1,1985,73
2,1986,7
4,1986,7
3,1986,7
1,1986,7
2,1987,11
4,1987,11
3,1987,11
1,1987,11
2,1991,1
4,1991,1
3,1991,1
1,1991,1
2,1998,49
4,1998,49
3,1998,49
1,1998,49
2,2000,1708
4,2000,1708
3,2000,1708
1,2000,1708
2,2004,1205
4,2004,1205
3,2004,1205
1,2004,1205
