"rgn_id","year","popsum"
1,2005,3115684.77149231
2,2005,2147326.05147039
3,2005,15709.4205221911
4,2005,4490961.04273551
1,2006,2709494.32713192
2,2006,1888852.68731048
3,2006,13657.2620420905
4,2006,3892753.69662046
1,2007,2702457.94940983
2,2007,1867827.82845114
3,2007,13341.8562245395
4,2007,3911211.94829287
1,2008,2695421.50926295
2,2008,1846802.92615045
3,2008,13026.4509168445
4,2008,3929670.16050043
1,2009,2688385.06723091
2,2009,1825778.00565336
3,2009,12711.0459456656
4,2009,3948128.35278034
1,2010,3077419.96198274
2,2010,2029902.7302293
3,2010,13936.3639041782
4,2010,4599451.21485509
1,2011,2674662.06734358
2,2011,1776738.17028999
3,2011,12055.435243317
4,2011,3965963.37291748
1,2012,2667975.4487744
2,2012,1748723.26196287
3,2012,11715.2309413807
4,2012,3965340.22725084
1,2013,2661288.88338576
2,2013,1720708.3508554
3,2013,11375.0263194312
4,2013,3964717.00575454
1,2014,2654602.2540174
2,2014,1692693.39960942
3,2014,11034.8207733757
4,2014,3964093.78228994
1,2015,3040622.59892378
2,2015,1872939.1518672
3,2015,12023.9618215312
4,2015,4597127.18005015
