"rgn_id","year","popsum"
2,2005,11729800
4,2005,11729800
3,2005,11729800
1,2005,11729800
2,2006,11707700
4,2006,11707700
3,2006,11707700
1,2006,11707700
2,2007,11685500
4,2007,11685500
3,2007,11685500
1,2007,11685500
2,2008,11663400
4,2008,11663400
3,2008,11663400
1,2008,11663400
2,2009,11641300
4,2009,11641300
3,2009,11641300
1,2009,11641300
2,2010,11619200
4,2010,11619200
3,2010,11619200
1,2010,11619200
2,2011,11560900
4,2011,11560900
3,2011,11560900
1,2011,11560900
2,2012,11502700
4,2012,11502700
3,2012,11502700
1,2012,11502700
2,2013,11444500
4,2013,11444500
3,2013,11444500
1,2013,11444500
2,2014,11386300
4,2014,11386300
3,2014,11386300
1,2014,11386300
2,2015,11328000
4,2015,11328000
3,2015,11328000
1,2015,11328000
