"rgn_id","species_code","year","tonnes"
2,788,2003,0
4,788,2003,0
3,788,2003,0
1,788,2003,0
2,788,2004,0
4,788,2004,0
3,788,2004,0
1,788,2004,0
2,788,2005,0
4,788,2005,0
3,788,2005,0
1,788,2005,0
2,788,2006,0
4,788,2006,0
3,788,2006,0
1,788,2006,0
2,788,2007,0
4,788,2007,0
3,788,2007,0
1,788,2007,0
2,788,2008,0
4,788,2008,0
3,788,2008,0
1,788,2008,0
2,788,2009,0
4,788,2009,0
3,788,2009,0
1,788,2009,0
2,788,2010,0
4,788,2010,0
3,788,2010,0
1,788,2010,0
2,788,2011,0
4,788,2011,0
3,788,2011,0
1,788,2011,0
2,788,2012,0
4,788,2012,0
3,788,2012,0
1,788,2012,0
2,789,2003,0
4,789,2003,0
3,789,2003,0
1,789,2003,0
2,789,2004,0
4,789,2004,0
3,789,2004,0
1,789,2004,0
2,789,2005,0
4,789,2005,0
3,789,2005,0
1,789,2005,0
2,789,2006,0
4,789,2006,0
3,789,2006,0
1,789,2006,0
2,789,2007,0
4,789,2007,0
3,789,2007,0
1,789,2007,0
2,789,2008,0
4,789,2008,0
3,789,2008,0
1,789,2008,0
2,789,2009,0
4,789,2009,0
3,789,2009,0
1,789,2009,0
2,789,2010,0
4,789,2010,0
3,789,2010,0
1,789,2010,0
2,789,2011,0
4,789,2011,0
3,789,2011,0
1,789,2011,0
2,789,2012,0
4,789,2012,0
3,789,2012,0
1,789,2012,0
2,790,2003,0
4,790,2003,0
3,790,2003,0
1,790,2003,0
2,790,2004,0
4,790,2004,0
3,790,2004,0
1,790,2004,0
2,790,2005,0
4,790,2005,0
3,790,2005,0
1,790,2005,0
2,790,2006,0
4,790,2006,0
3,790,2006,0
1,790,2006,0
2,790,2007,0
4,790,2007,0
3,790,2007,0
1,790,2007,0
2,790,2008,0
4,790,2008,0
3,790,2008,0
1,790,2008,0
2,790,2009,0
4,790,2009,0
3,790,2009,0
1,790,2009,0
2,790,2010,0
4,790,2010,0
3,790,2010,0
1,790,2010,0
2,790,2011,0
4,790,2011,0
3,790,2011,0
1,790,2011,0
2,790,2012,0
4,790,2012,0
3,790,2012,0
1,790,2012,0
2,791,2003,125
4,791,2003,125
3,791,2003,125
1,791,2003,125
2,791,2004,30
4,791,2004,30
3,791,2004,30
1,791,2004,30
2,791,2005,15
4,791,2005,15
3,791,2005,15
1,791,2005,15
2,791,2006,0
4,791,2006,0
3,791,2006,0
1,791,2006,0
2,791,2007,0
4,791,2007,0
3,791,2007,0
1,791,2007,0
2,791,2008,0
4,791,2008,0
3,791,2008,0
1,791,2008,0
2,791,2009,0
4,791,2009,0
3,791,2009,0
1,791,2009,0
2,791,2010,0
4,791,2010,0
3,791,2010,0
1,791,2010,0
2,791,2011,0
4,791,2011,0
3,791,2011,0
1,791,2011,0
2,791,2012,0
4,791,2012,0
3,791,2012,0
1,791,2012,0
2,792,2003,0
4,792,2003,0
3,792,2003,0
1,792,2003,0
2,792,2004,0
4,792,2004,0
3,792,2004,0
1,792,2004,0
2,792,2005,0
4,792,2005,0
3,792,2005,0
1,792,2005,0
2,792,2006,0
4,792,2006,0
3,792,2006,0
1,792,2006,0
2,792,2007,0
4,792,2007,0
3,792,2007,0
1,792,2007,0
2,792,2008,0
4,792,2008,0
3,792,2008,0
1,792,2008,0
2,792,2009,0
4,792,2009,0
3,792,2009,0
1,792,2009,0
2,792,2010,0
4,792,2010,0
3,792,2010,0
1,792,2010,0
2,792,2011,0
4,792,2011,0
3,792,2011,0
1,792,2011,0
2,792,2012,0
4,792,2012,0
3,792,2012,0
1,792,2012,0
2,793,2008,3
4,793,2008,3
3,793,2008,3
1,793,2008,3
2,793,2009,23
4,793,2009,23
3,793,2009,23
1,793,2009,23
2,793,2010,0
4,793,2010,0
3,793,2010,0
1,793,2010,0
