" ","score","status","future","trend","pressures","resilience"
"Index",67.86,,67.09,,,
"Food Provision",14.9,13.99,15.81,-0.01,,
". Fisheries",14.91,14,15.82,-0.01,26.75,68.28
". Mariculture",0.52,0.5,0.54,-0.01,29.92,58.29
"Artisanal Fishing Opportunity",71.43,66.69,76.16,0,26.03,68.88
"Natural Products",53.23,47.1,59.36,0.18,24.77,67.57
"Carbon Storage",80.93,99.46,62.4,-0.71,33.64,65.77
"Coastal Protection",22.62,25.51,19.74,-0.48,36.81,65.77
"Tourism & Recreation",100,100,100,0.02,56.75,51.98
"Coastal Livelihoods & Economies",99.92,99.84,100,0.78,,
". Livelihoods",99.84,99.68,100,0.56,30.69,56.55
". Economies",100,100,100,1,29.27,58.19
"Sense of Place",80.07,81.11,79.02,-0.14,,
". Iconic Species",60.13,62.22,58.04,-0.27,32.49,67.51
". Lasting Special Places",100,100,100,0,40.01,63.34
"Clean Waters",70.68,67.21,74.14,0.26,73.02,51.98
"Biodiversity",84.78,85.29,84.28,-0.19,,
". Habitats",90.05,89.62,90.48,-0.16,29.84,66.12
". Species",79.52,80.96,78.08,-0.22,31.72,66.14
