"goal","dimension","region_id","score"
"AO","future",0,76.15
"AO","future",1,76.15
"AO","future",2,76.16
"AO","future",3,76.19
"AO","future",4,76.12
"AO","pressures",1,26.11
"AO","pressures",2,26.03
"AO","pressures",3,25.89
"AO","pressures",4,26.22
"AO","resilience",1,68.88
"AO","resilience",2,68.88
"AO","resilience",3,68.88
"AO","resilience",4,68.88
"AO","score",0,71.42
"AO","score",1,71.42
"AO","score",2,71.43
"AO","score",3,71.44
"AO","score",4,71.41
"AO","status",0,66.69
"AO","status",1,66.69
"AO","status",2,66.69
"AO","status",3,66.69
"AO","status",4,66.69
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",3,0
"AO","trend",4,0
"BD","future",0,84.26
"BD","future",1,84.25
"BD","future",2,84.28
"BD","future",3,84.33
"BD","future",4,84.22
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,84.77
"BD","score",1,84.77
"BD","score",2,84.78
"BD","score",3,84.81
"BD","score",4,84.75
"BD","status",0,85.29
"BD","status",1,85.29
"BD","status",2,85.29
"BD","status",3,85.29
"BD","status",4,85.29
"BD","trend",1,-0.19
"BD","trend",2,-0.19
"BD","trend",3,-0.19
"BD","trend",4,-0.19
"CP","future",0,19.73
"CP","future",1,19.72
"CP","future",2,19.74
"CP","future",3,19.77
"CP","future",4,19.7
"CP","pressures",1,37
"CP","pressures",2,36.81
"CP","pressures",3,36.47
"CP","pressures",4,37.26
"CP","resilience",1,65.77
"CP","resilience",2,65.77
"CP","resilience",3,65.77
"CP","resilience",4,65.77
"CP","score",0,22.62
"CP","score",1,22.61
"CP","score",2,22.62
"CP","score",3,22.64
"CP","score",4,22.6
"CP","status",0,25.51
"CP","status",1,25.51
"CP","status",2,25.51
"CP","status",3,25.51
"CP","status",4,25.51
"CP","trend",1,-0.48
"CP","trend",2,-0.48
"CP","trend",3,-0.48
"CP","trend",4,-0.48
"CS","future",0,62.35
"CS","future",1,62.33
"CS","future",2,62.4
"CS","future",3,62.53
"CS","future",4,62.24
"CS","pressures",1,33.86
"CS","pressures",2,33.64
"CS","pressures",3,33.26
"CS","pressures",4,34.15
"CS","resilience",1,65.77
"CS","resilience",2,65.77
"CS","resilience",3,65.77
"CS","resilience",4,65.77
"CS","score",0,80.9
"CS","score",1,80.89
"CS","score",2,80.93
"CS","score",3,80.99
"CS","score",4,80.85
"CS","status",0,99.46
"CS","status",1,99.46
"CS","status",2,99.46
"CS","status",3,99.46
"CS","status",4,99.46
"CS","trend",1,-0.71
"CS","trend",2,-0.71
"CS","trend",3,-0.71
"CS","trend",4,-0.71
"CW","future",0,74.14
"CW","future",1,74.14
"CW","future",2,74.14
"CW","future",3,74.14
"CW","future",4,74.14
"CW","pressures",1,73.02
"CW","pressures",2,73.02
"CW","pressures",3,73.02
"CW","pressures",4,73.02
"CW","resilience",1,51.98
"CW","resilience",2,51.98
"CW","resilience",3,51.98
"CW","resilience",4,51.98
"CW","score",0,70.68
"CW","score",1,70.68
"CW","score",2,70.68
"CW","score",3,70.68
"CW","score",4,70.68
"CW","status",0,67.21
"CW","status",1,67.21
"CW","status",2,67.21
"CW","status",3,67.21
"CW","status",4,67.21
"CW","trend",1,0.26
"CW","trend",2,0.26
"CW","trend",3,0.26
"CW","trend",4,0.26
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","pressures",1,29.28
"ECO","pressures",2,29.27
"ECO","pressures",3,29.26
"ECO","pressures",4,29.29
"ECO","resilience",1,58.19
"ECO","resilience",2,58.19
"ECO","resilience",3,58.19
"ECO","resilience",4,58.19
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
"ECO","trend",4,1
"FIS","future",0,15.72
"FIS","future",1,20.34
"FIS","future",2,15.82
"FIS","future",3,4.55
"FIS","future",4,11.37
"FIS","pressures",1,26.81
"FIS","pressures",2,26.75
"FIS","pressures",3,26.64
"FIS","pressures",4,26.9
"FIS","resilience",1,68.28
"FIS","resilience",2,68.28
"FIS","resilience",3,68.28
"FIS","resilience",4,68.28
"FIS","score",0,14.81
"FIS","score",1,19.17
"FIS","score",2,14.91
"FIS","score",3,4.27
"FIS","score",4,10.68
"FIS","status",0,13.89
"FIS","status",1,18
"FIS","status",2,14
"FIS","status",3,4
"FIS","status",4,10
"FIS","trend",1,-0.01
"FIS","trend",2,-0.01
"FIS","trend",3,0
"FIS","trend",4,0
"FP","future",0,15.7
"FP","future",1,20.32
"FP","future",2,15.81
"FP","future",3,4.56
"FP","future",4,11.35
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",3,
"FP","pressures",4,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",3,
"FP","resilience",4,
"FP","score",0,14.79
"FP","score",1,19.15
"FP","score",2,14.9
"FP","score",3,4.29
"FP","score",4,10.67
"FP","status",0,13.88
"FP","status",1,17.98
"FP","status",2,13.99
"FP","status",3,4.03
"FP","status",4,9.99
"FP","trend",1,-0.01
"FP","trend",2,-0.01
"FP","trend",3,0
"FP","trend",4,0
"HAB","future",0,90.46
"HAB","future",1,90.46
"HAB","future",2,90.48
"HAB","future",3,90.52
"HAB","future",4,90.43
"HAB","pressures",1,29.92
"HAB","pressures",2,29.84
"HAB","pressures",3,29.71
"HAB","pressures",4,30.02
"HAB","resilience",1,66.12
"HAB","resilience",2,66.12
"HAB","resilience",3,66.12
"HAB","resilience",4,66.12
"HAB","score",0,90.04
"HAB","score",1,90.04
"HAB","score",2,90.05
"HAB","score",3,90.07
"HAB","score",4,90.02
"HAB","status",0,89.62
