"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_n","z_n_pct","z_g_score","z"
"World","Africa","Southern Africa","Eastern Cape",1990,1,2,18,2,1,0.0135991444988678,0.0135991444988678,0.0135991444988678,0.0135991444988678,4,4,4,4,4,4,"v","2",1,1,0,0.0135991444988678
"World","Africa","Southern Africa","Eastern Cape",1991,1,2,18,2,1,0.015352138721992,0.015352138721992,0.015352138721992,0.015352138721992,4,4,4,4,4,4,"v","2",1,1,0,0.015352138721992
"World","Africa","Southern Africa","Eastern Cape",1992,1,2,18,2,1,0.0125426601038526,0.0125426601038526,0.0125426601038526,0.0125426601038526,4,4,4,4,4,4,"v","2",1,1,0,0.0125426601038526
"World","Africa","Southern Africa","Eastern Cape",1993,1,2,18,2,1,0.0128619612237262,0.0128619612237262,0.0128619612237262,0.0128619612237262,4,4,4,4,4,4,"v","2",1,1,0,0.0128619612237262
"World","Africa","Southern Africa","Eastern Cape",1994,1,2,18,2,1,0.0135754146217595,0.0135754146217595,0.0135754146217595,0.0135754146217595,4,4,4,4,4,4,"v","2",1,1,0,0.0135754146217595
"World","Africa","Southern Africa","Eastern Cape",1995,1,2,18,2,1,0.0142598654908909,0.0142598654908909,0.0142598654908909,0.0142598654908909,4,4,4,4,4,4,"v","2",1,1,0,0.0142598654908909
"World","Africa","Southern Africa","Eastern Cape",1996,1,2,18,2,1,0.0170438243093999,0.0170438243093999,0.0170438243093999,0.0170438243093999,4,4,4,4,4,4,"v","2",1,1,0,0.0170438243093999
"World","Africa","Southern Africa","Eastern Cape",1997,1,2,18,2,1,0.0186245454502362,0.0186245454502362,0.0186245454502362,0.0186245454502362,4,4,4,4,4,4,"v","2",1,1,0,0.0186245454502362
"World","Africa","Southern Africa","Eastern Cape",1998,1,2,18,2,1,0.0211536911780303,0.0211536911780303,0.0211536911780303,0.0211536911780303,4,4,4,4,4,4,"v","2",1,1,0,0.0211536911780303
"World","Africa","Southern Africa","Eastern Cape",1999,1,2,18,2,1,0.0205633433794607,0.0205633433794607,0.0205633433794607,0.0205633433794607,4,4,4,4,4,4,"v","2",1,1,0,0.0205633433794607
"World","Africa","Southern Africa","Eastern Cape",2000,1,2,18,2,1,0.0222646698644968,0.0222646698644968,0.0222646698644968,0.0222646698644968,4,4,4,4,4,4,"v","2",1,1,0,0.0222646698644968
"World","Africa","Southern Africa","Eastern Cape",2001,1,2,18,2,1,0.0230586057746204,0.0230586057746204,0.0230586057746204,0.0230586057746204,4,4,4,4,4,4,"v","2",1,1,0,0.0230586057746204
"World","Africa","Southern Africa","Eastern Cape",2002,1,2,18,2,1,0.0259734817157604,0.0259734817157604,0.0259734817157604,0.0259734817157604,4,4,4,4,4,4,"v","2",1,1,0,0.0259734817157604
"World","Africa","Southern Africa","Eastern Cape",2003,1,2,18,2,1,0.0257734342452096,0.0257734342452096,0.0257734342452096,0.0257734342452096,4,4,4,4,4,4,"v","2",1,1,0,0.0257734342452096
"World","Africa","Southern Africa","Eastern Cape",2004,1,2,18,2,1,0.0252166004625197,0.0252166004625197,0.0252166004625197,0.0252166004625197,4,4,4,4,4,4,"v","2",1,1,0,0.0252166004625197
"World","Africa","Southern Africa","Eastern Cape",2005,1,2,18,2,1,0.0258419340712057,0.0258419340712057,0.0258419340712057,0.0258419340712057,4,4,4,4,4,4,"v","2",1,1,0,0.0258419340712057
"World","Africa","Southern Africa","Eastern Cape",2006,1,2,18,2,1,0.0264946224601058,0.0264946224601058,0.0264946224601058,0.0264946224601058,4,4,4,4,4,4,"v","2",1,1,0,0.0264946224601058
"World","Africa","Southern Africa","Eastern Cape",2007,1,2,18,2,1,0.0269108271442226,0.0269108271442226,0.0269108271442226,0.0269108271442226,4,4,4,4,4,4,"v","2",1,1,0,0.0269108271442226
"World","Africa","Southern Africa","Eastern Cape",2008,1,2,18,2,1,0.0269829503517379,0.0269829503517379,0.0269829503517379,0.0269829503517379,4,4,4,4,4,4,"v","2",1,1,0,0.0269829503517379
"World","Africa","Southern Africa","Eastern Cape",2009,1,2,18,2,1,0.0256071876861592,0.0256071876861592,0.0256071876861592,0.0256071876861592,4,4,4,4,4,4,"v","2",1,1,0,0.0256071876861592
"World","Africa","Southern Africa","Eastern Cape",2010,1,2,18,2,1,0.026472411142405,0.026472411142405,0.026472411142405,0.026472411142405,4,4,4,4,4,4,"v","2",1,1,0,0.026472411142405
"World","Africa","Southern Africa","Eastern Cape",2011,1,2,18,2,1,0.0268217323970677,0.0268217323970677,0.0268217323970677,0.0268217323970677,4,4,4,4,4,4,"v","2",1,1,0,0.0268217323970677
"World","Africa","Southern Africa","Eastern Cape",2012,1,2,18,2,1,0.0277953944601531,0.0277953944601531,0.0277953944601531,0.0277953944601531,4,4,4,4,4,4,"v","2",1,1,0,0.0277953944601531
"World","Africa","Southern Africa","KwaZulu-Natal",1990,1,2,18,4,1,0.0135991444988678,0.0135991444988678,0.0135991444988678,0.0135991444988678,4,4,4,4,4,4,"v","4",1,1,0,0.0135991444988678
"World","Africa","Southern Africa","KwaZulu-Natal",1991,1,2,18,4,1,0.015352138721992,0.015352138721992,0.015352138721992,0.015352138721992,4,4,4,4,4,4,"v","4",1,1,0,0.015352138721992
"World","Africa","Southern Africa","KwaZulu-Natal",1992,1,2,18,4,1,0.0125426601038526,0.0125426601038526,0.0125426601038526,0.0125426601038526,4,4,4,4,4,4,"v","4",1,1,0,0.0125426601038526
"World","Africa","Southern Africa","KwaZulu-Natal",1993,1,2,18,4,1,0.0128619612237262,0.0128619612237262,0.0128619612237262,0.0128619612237262,4,4,4,4,4,4,"v","4",1,1,0,0.0128619612237262
"World","Africa","Southern Africa","KwaZulu-Natal",1994,1,2,18,4,1,0.0135754146217595,0.0135754146217595,0.0135754146217595,0.0135754146217595,4,4,4,4,4,4,"v","4",1,1,0,0.0135754146217595
"World","Africa","Southern Africa","KwaZulu-Natal",1995,1,2,18,4,1,0.0142598654908909,0.0142598654908909,0.0142598654908909,0.0142598654908909,4,4,4,4,4,4,"v","4",1,1,0,0.0142598654908909
"World","Africa","Southern Africa","KwaZulu-Natal",1996,1,2,18,4,1,0.0170438243093999,0.0170438243093999,0.0170438243093999,0.0170438243093999,4,4,4,4,4,4,"v","4",1,1,0,0.0170438243093999
"World","Africa","Southern Africa","KwaZulu-Natal",1997,1,2,18,4,1,0.0186245454502362,0.0186245454502362,0.0186245454502362,0.0186245454502362,4,4,4,4,4,4,"v","4",1,1,0,0.0186245454502362
"World","Africa","Southern Africa","KwaZulu-Natal",1998,1,2,18,4,1,0.0211536911780303,0.0211536911780303,0.0211536911780303,0.0211536911780303,4,4,4,4,4,4,"v","4",1,1,0,0.0211536911780303
"World","Africa","Southern Africa","KwaZulu-Natal",1999,1,2,18,4,1,0.0205633433794607,0.0205633433794607,0.0205633433794607,0.0205633433794607,4,4,4,4,4,4,"v","4",1,1,0,0.0205633433794607
"World","Africa","Southern Africa","KwaZulu-Natal",2000,1,2,18,4,1,0.0222646698644968,0.0222646698644968,0.0222646698644968,0.0222646698644968,4,4,4,4,4,4,"v","4",1,1,0,0.0222646698644968
"World","Africa","Southern Africa","KwaZulu-Natal",2001,1,2,18,4,1,0.0230586057746204,0.0230586057746204,0.0230586057746204,0.0230586057746204,4,4,4,4,4,4,"v","4",1,1,0,0.0230586057746204
"World","Africa","Southern Africa","KwaZulu-Natal",2002,1,2,18,4,1,0.0259734817157604,0.0259734817157604,0.0259734817157604,0.0259734817157604,4,4,4,4,4,4,"v","4",1,1,0,0.0259734817157604
"World","Africa","Southern Africa","KwaZulu-Natal",2003,1,2,18,4,1,0.0257734342452096,0.0257734342452096,0.0257734342452096,0.0257734342452096,4,4,4,4,4,4,"v","4",1,1,0,0.0257734342452096
